Year,Alepes djedaba,Atherina boyeri,Atherina hepsetus,Atherinidae,Belone belone,Brama brama,Campogramma glaycos,Carangidae,Caranx spp,Coryphaena hippurus,Lichia amia,Naucrates ductor,Perciformes,Pomatomus saltatrix,Scomber colias,Scomber scombrus,Scomber spp,Scomberesox saurus,Scombridae,Seriola dumerili,Sphyraena sphyraena,Sphyraena spp,Trachinotus ovatus,Trachurus mediterraneus,Trachurus spp,Trachurus trachurus,Total
1950,0,0,0,0,300,0,0,100,0,300,0,0,0,0,1800,16700,10600,0,0,0,0,0,0,3800,14000,12000,59600
1951,0,0,0,0,100,0,0,0,0,200,0,0,0,0,1500,17800,10800,0,0,0,0,0,0,3400,10500,12000,56300
1952,0,0,0,0,100,0,0,100,0,300,0,0,0,0,1300,17900,13800,0,0,0,0,0,0,2800,11400,13000,60700
1953,0,0,0,100,200,100,0,100,0,200,0,0,0,0,800,20300,13000,0,0,0,0,0,0,2600,17800,5000,60200
1954,0,0,0,100,300,100,0,100,0,100,0,0,0,0,1000,23100,12500,0,0,0,0,0,0,3300,27400,5000,73000
1955,0,0,0,0,400,0,0,100,0,100,0,0,0,0,900,7300,11700,0,0,0,0,0,0,3200,25600,3000,52300
1956,0,0,0,0,200,0,0,0,0,100,0,0,0,0,600,7200,13500,0,0,0,0,0,0,2800,34800,6000,65200
1957,0,0,0,100,200,0,0,100,0,100,0,0,0,0,700,6600,12500,0,0,0,0,0,0,2900,40400,6000,69600
1958,0,0,0,2200,1100,100,0,100,0,300,0,0,0,1200,800,6000,11200,0,100,0,0,600,0,3600,63200,4900,95400
1959,0,0,0,2300,1400,0,0,0,0,300,0,0,0,900,800,8800,14400,0,100,0,0,700,0,3300,51200,6800,91000
1960,0,0,0,1900,1500,0,0,100,0,300,100,0,0,500,1100,9700,12000,0,200,0,0,600,0,4400,40400,4900,77700
1961,0,0,0,2200,2300,0,0,100,0,300,100,0,0,1100,1200,11500,10500,0,200,0,0,1200,0,4000,32600,3100,70400
1962,0,0,0,2400,2300,100,0,100,0,500,100,0,0,1000,1300,10900,6700,0,200,0,0,0,0,4000,34000,3600,67200
1963,0,0,0,3600,2200,100,0,100,0,600,0,0,0,400,1400,22700,12300,0,200,0,0,500,0,4000,37400,13500,99000
1964,0,0,0,5500,1800,0,0,100,0,400,0,0,0,700,2000,13200,18600,0,200,0,0,500,0,4200,36700,4000,87900
1965,0,0,0,3400,2200,0,0,0,0,400,0,0,0,1300,2200,18800,14400,0,100,0,0,800,0,5400,25600,7100,81700
1966,0,0,0,3100,3600,0,0,100,0,400,0,0,0,3900,1500,8400,16800,0,200,0,0,900,0,4900,22400,10300,76500
1967,0,0,0,3500,1200,0,0,100,0,600,400,0,0,6900,2300,7900,14500,0,100,100,0,1600,0,21900,26200,8700,96000
1968,0,0,0,3500,3200,0,0,0,0,400,500,0,1000,5400,2500,8400,17200,0,300,100,0,700,0,13400,24000,6900,87500
1969,0,0,0,3500,3500,0,0,100,0,200,400,0,400,5500,2400,9800,14500,0,400,100,0,1300,0,11400,21900,9800,85200
1970,0,0,0,4394,4812,0,0,0,0,300,481,0,303,7870,2470,9460,12825,0,100,132,0,1061,0,22594,22819,5926,95547
1971,0,0,0,5761,3063,0,0,100,0,300,505,0,202,4735,2482,7481,6468,0,0,244,0,826,0,14762,25988,5342,78259
1972,0,0,0,5309,3159,0,0,100,0,236,658,0,201,4041,1959,6214,4670,0,300,27,0,612,0,19116,43794,4931,95327
1973,0,0,0,4942,2010,0,0,100,0,400,557,0,201,506,1369,5322,5843,0,400,164,0,729,0,25130,31577,2778,82028
1974,0,0,0,4229,1673,0,0,112,0,504,722,0,1,1034,1704,8350,4999,0,356,31,0,782,0,21058,23899,1956,71410
1975,0,0,0,4026,3082,0,0,88,0,463,627,0,52,2907,1829,7761,4269,0,720,36,0,876,0,22638,25283,1642,76299
1976,0,0,0,3788,1809,0,0,117,0,583,764,0,1,8991,3478,2839,4029,0,440,66,0,906,0,25947,46187,5634,105579
1977,0,0,0,3604,2657,0,0,138,0,373,849,0,2,10174,3852,5899,3150,0,450,353,0,985,0,25491,32077,5605,95659
1978,0,264,0,3652,2813,0,0,114,0,235,640,0,0,4524,4407,5705,3366,0,430,273,0,1159,0,39903,22827,13191,103503
