"","variable","year","mean","sd","lower","upper"
"1","b_t",1979,33584.6658640443,3389.76092528587,27584.1578396974,38501.5880063149
"2","b_t",1980,28266.8325343928,2555.67110191495,24537.5122435015,32694.0033461129
"3","b_t",1981,22564.2701324883,2382.94562570854,17443.1862304528,25427.1454334756
"4","b_t",1982,26302.3426723356,3479.78629177576,20505.679264362,32703.8142399758
"5","b_t",1983,38290.1842493,5312.07635560773,30124.0828689714,46717.643882476
"6","b_t",1984,26045.7560588799,4174.12486211692,20480.0140394925,33602.9330246886
"7","b_t",1985,47429.3976931553,8769.83249099019,33455.9506908479,63876.9990637429
"8","b_t",1986,22383.2162591449,4281.94128955575,15398.7035399839,29792.3001374701
"9","b_t",1987,27051.7702034924,4980.56806731711,19848.4860630402,35582.520706217
"10","b_t",1988,5804.18167237441,1598.66463970465,3665.98212801103,8262.04716555687
"11","b_t",1989,5273.03508444303,822.493715975652,4051.71016559005,6502.01149792496
"12","b_t",1990,2455.91860124292,188.474482074003,2151.37306980374,2760.70007615777
"13","b_t",1991,2690.43414490025,353.644754511437,2147.95528427098,3238.34387429684
"14","b_t",1992,5713.04014928089,1242.55045614295,3956.29666600812,7878.10953208405
"15","b_t",1993,3557.48755436896,587.535546943943,2903.2638767659,4753.80213478895
"16","b_t",1994,3307.45782027136,666.469957452876,2231.16959405605,4596.80686934047
"17","b_t",1995,1924.41103836395,603.368313511131,984.698625256974,2978.88134095537
"18","b_t",1996,2313.37350867078,301.820066122949,1919.53871320595,2898.99834862758
"19","b_t",1997,2854.95407277107,485.858151532633,2048.42841463331,3742.05020060254
"20","b_t",1998,1860.52134058185,247.785575893296,1523.96392763596,2303.29946105915
"21","b_t",1999,2286.02261601932,558.098664184974,1542.03195973988,3374.34602654695
"22","b_t",2000,2728.84191322214,456.518072307242,2158.85096944717,3541.56178983074
"23","b_t",2001,2755.0982010779,598.856660100088,1959.40661351483,3818.22469119555
"24","b_t",2002,4029.28282733595,749.876807198433,2897.60843210779,5278.46590426762
"25","b_t",2003,2323.41418024442,640.601988554682,1585.3951696645,3510.5089584481
"26","b_t",2004,3350.04011712558,700.887688614495,2367.929397916,4510.17182833184
"27","b_t",2005,4464.91249788829,897.568796770675,3067.01460394719,5857.47471617634
"28","b_t",2006,3221.5223211901,681.521387311419,2186.21473543382,4446.51039202343
"29","b_t",2007,5848.09234935564,1536.90168522703,4058.69844702946,8813.36795839892
"30","b_t",2008,3417.56059479698,1029.68530795117,2318.13013536568,5391.51342035694
"31","b_t",2009,9297.61919104522,3070.9818804038,5663.11743662003,14992.2552118868
"32","b_t",2010,13195.9862552204,3023.10265832152,9306.35330703227,18787.4747481372
"33","b_t",2011,5022.84525710175,765.784842918337,3929.13136834396,6371.50633311338
"34","b_t",2012,3329.7317759202,463.471316633334,2625.91819197578,4148.81006605026
"35","b_t",2013,8151.2243279149,1333.76546137639,6215.70752010617,10481.1438810049
"36","b_t",2014,10742.6096243481,2502.19515753537,7223.27772363755,15043.5586792002
"37","b_t",2015,4012.73042141631,739.358701635241,2901.30736007225,5293.35629875054
"38","b_t",2016,3463.44254798887,975.830043898482,2167.6587236479,5086.78030540748
"39","b_t",2017,5511.71671960662,1807.69430118409,3077.69091701156,8848.92485259757
"40","b_t",2018,15258.2105257483,4862.53805036499,9466.47456488165,25087.4643267287
"41","bmsy",1979,24800.025424986,3237.18701365831,19811.6138269234,29891.4080814902
"42","ck",1979,0.0348240442145499,0.00456334254966143,0.028402810526427,0.0428536529109379
"43","ck",1980,0.102154631468005,0.013386342308518,0.0833182563204551,0.125709096083264
"44","ck",1981,0.0255745483719339,0.0033512886686854,0.0208588367058036,0.0314714400353001
"45","ck",1982,0.233821512420544,0.0306399696164252,0.19070697456525,0.287735274933807
"46","ck",1983,0.126744754561789,0.0166086318945275,0.103374186721625,0.155969125435569
"47","ck",1984,0.132548761930881,0.0173691889861377,0.108107988476029,0.163111400920726
"48","ck",1985,0.126826790001635,0.0166193818180838,0.103441095580344,0.156070076325819
"49","ck",1986,0.0998986568722453,0.013090719410719,0.0814782627056689,0.122932946601401
"50","ck",1987,0.0927410647456977,0.0121527885804293,0.0756404647823927,0.114124981427127
"51","ck",1988,0.0350496416741259,0.00459290483944134,0.0285868098879056,0.0431312678591242
"52","ck",1989,0.0112798729788,0.00147811448899516,0.009199968073931,0.0138807474093144
"53","ck",1990,0.00510670613040219,0.000669182741381447,0.00416507645528876,0.00628419291803507
"54","ck",1991,0.00957763760199929,0.00125505357520135,0.00781160925550141,0.0117860164366361
"55","ck",1992,0.021472776379643,0.00281379249086898,0.0175133937698286,0.0264238955228222
"56","ck",1993,0.019401381523536,0.00254235692107168,0.0158239450871613,0.0238748855440208
"57","ck",1994,0.00910593382288584,0.00119324151475246,0.0074268833178643,0.0112055488177011
"58","ck",1995,0.00430686059190546,0.000564370986707245,0.00351271508277365,0.00529992173810187
"59","ck",1996,0.00732166300623929,0.000959430677402316,0.00597161564071521,0.00900986695477317
"60","ck",1997,0.00838812372423493,0.00109917968363459,0.00684143080406869,0.0103222285280174
"61","ck",1998,0.0134743209946757,0.00176567494412695,0.0109897800446776,0.0165811837234901
"62","ck",1999,0.00836761486427347,0.0010964922027455,0.00682470358938881,0.0102969908054551
"63","ck",2000,0.015115029791592,0.00198067341525352,0.0123279572190675,0.0186002015284813
"64","ck",2001,0.00879830092346402,0.00115292930141623,0.00717597509766618,0.0108269829792652
"65","ck",2002,0.0131051615153695,0.00171730028812347,0.0106886901804398,0.0161269047173671
"66","ck",2003,0.0125719311563717,0.00164742578500734,0.0102537825987631,0.015470723930745
"67","ck",2004,0.0060090959687062,0.00078743190050106,0.00490107390120324,0.00739465271078022
"68","ck",2005,0.0138844981939048,0.00181942456190859,0.0113243243382751,0.0170859381747379
"69","ck",2006,0.0105005363002648,0.00137599021521004,0.00856433391609577,0.0129217139519436
"70","ck",2007,0.0243235079142851,0.00318735233445139,0.0198384766103312,0.0299319389589944
"71","ck",2008,0.0143356931130568,0.0018785491414684,0.0116923230612323,0.0176411680711105
