"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,318488.086215775,537523.414897331,39068.5610407948,1075368.8472297
"2","b_t",1952,132065.294537896,249032.764397692,13763.1758365532,426360.120130816
"3","b_t",1953,117182.441893934,211322.075549787,12275.3000528456,386507.839497323
"4","b_t",1954,120371.707758912,214706.659957125,12162.6987070254,405746.984648413
"5","b_t",1955,119387.458832288,212535.663626642,12529.289688821,392942.222912698
"6","b_t",1956,107038.263061779,205694.047121356,11658.1812366307,360678.854350568
"7","b_t",1957,137550.004985926,270168.595391554,14982.71212692,455682.414457066
"8","b_t",1958,321882.342938814,598003.384575816,33308.1172572597,1036024.67904545
"9","b_t",1959,486959.316499708,890572.058818762,49756.0345965971,1581303.59041048
"10","b_t",1960,578867.008769699,1073099.38718083,62545.2227686124,1955775.19261601
"11","b_t",1961,644415.738521321,1202138.35103359,68287.0368665568,2190786.28998476
"12","b_t",1962,842149.792336406,1450757.59111287,91866.2037203821,2963107.2306153
"13","b_t",1963,858398.48755573,1540836.34345807,97860.0275406806,2842774.65255785
"14","b_t",1964,774831.09952908,1275754.60624675,79921.4337929996,2665745.39275563
"15","b_t",1965,774904.215411482,1406987.25331403,81924.6181514248,2709561.5072604
"16","b_t",1966,853209.629008373,1600380.65141993,90837.3594357135,2923520.10354256
"17","b_t",1967,588738.304935113,1049808.7490888,63612.6843217975,1905437.30970174
"18","b_t",1968,816819.412839642,1664306.38561679,87504.8347735649,2668187.23774744
"19","b_t",1969,943961.602541435,1606194.6434321,102464.214851363,3207771.73742877
"20","b_t",1970,1105083.25406188,2041164.14015627,125154.572240686,3556854.43056402
"21","b_t",1971,940972.05106388,1748485.37604322,97533.0297325834,3163032.13866518
"22","b_t",1972,936666.880997118,1572365.91281442,103354.012870374,3095520.79173235
"23","b_t",1973,857472.339542289,1583890.83309944,89399.5914482212,2696927.02352554
"24","b_t",1974,718119.323470801,1296944.628222,78995.1302774207,2394539.8932066
"25","b_t",1975,839010.602469779,1732874.77245698,87498.4397814588,2740645.68574901
"26","b_t",1976,681730.253606725,1373231.62324358,69243.1714622659,2352362.46843053
"27","b_t",1977,804706.058951024,1505712.15570109,86125.6031677675,2583991.72478091
"28","b_t",1978,802206.614959278,1500778.7119697,89030.1410727168,2448554.82191104
"29","b_t",1979,810481.457228654,1630504.96006701,83331.7400335182,2740029.00103921
"30","b_t",1980,650274.613374368,1168109.32266916,68566.5506737585,2124633.46526284
"31","b_t",1981,593245.091472288,1067409.16194191,63672.2617004119,1975569.4121121
"32","b_t",1982,582294.473032317,1028965.37541093,61367.8291072546,1934464.24296229
"33","b_t",1983,442793.635658982,801465.617552427,44983.6991922154,1431791.35249216
"34","b_t",1984,410188.919349146,713117.774623405,43272.1506216706,1363383.09956977
"35","b_t",1985,453353.143249353,870658.611030734,47466.641402219,1423656.03604368
"36","b_t",1986,477306.554571126,887613.385462314,49786.9240009959,1485740.86214248
"37","b_t",1987,471960.232069035,845118.697027333,49974.792419298,1590545.31509816
"38","b_t",1988,424762.188409185,780770.100971573,43675.4477559079,1416694.06008806
"39","b_t",1989,326731.766723478,585051.724167763,34996.4085394442,1067226.13264543
"40","b_t",1990,324656.364650661,649898.361050919,34310.4688954553,1034570.1406203
"41","b_t",1991,330365.012803009,592349.024709084,35875.6841685739,1113373.50429543
"42","b_t",1992,402257.311494235,665779.73512946,44024.6736772917,1281122.80402779
"43","b_t",1993,370983.932121566,709540.609585061,38724.474659049,1218853.91852918
"44","b_t",1994,367809.465051856,678120.859188128,38238.9725434295,1171964.25791141
"45","b_t",1995,297477.151560961,568496.94409788,30204.1675462831,967535.290592659
"46","b_t",1996,260777.338936307,454014.507341594,26850.0679406108,854010.268277721
"47","b_t",1997,271678.922077039,500288.248432642,28957.3008930439,878449.298770684
"48","b_t",1998,240984.935712221,418992.961237488,26186.0784840645,814698.874997447
"49","b_t",1999,212786.297664664,365083.953759032,22822.1692094092,711058.382634736
"50","b_t",2000,196000.864715775,348000.551625375,22268.7591119643,647552.794994522
"51","b_t",2001,233586.673532128,388853.615140056,25278.0467383122,791126.025750353
"52","b_t",2002,276926.985703897,481680.602800451,29440.278875841,928189.723846226
"53","b_t",2003,220175.816464088,446535.610653804,22026.7469110127,719081.630475518
"54","b_t",2004,196965.65650749,361264.072595898,20942.7834834203,647050.590309771
"55","b_t",2005,196971.455221225,378869.613467981,20678.0717305069,622415.885523899
"56","b_t",2006,166054.007753997,329929.204771252,16967.4574240586,525727.174282726
"57","b_t",2007,137014.516115139,282686.110679773,14175.3926135002,428537.655648789
"58","b_t",2008,125344.813268061,234009.135415047,13083.1161584085,413742.300250039
"59","b_t",2009,125400.169426768,230366.998375456,13532.0526770669,421280.469800629
"60","b_t",2010,119374.179413263,211688.924361459,12905.8877007371,396139.609779421
"61","b_t",2011,103031.436621523,198263.894560978,10722.9838325962,326505.417362636
"62","b_t",2012,99709.4155287305,181561.457026006,10073.8844064378,332539.842659081
"63","b_t",2013,85514.8220563549,150852.746616611,9242.51365726166,283954.498412899
"64","b_t",2014,90304.4602431036,157151.627095588,9402.30210294683,294233.864713994
"65","b_t",2015,97591.0908473419,158494.283908884,10440.101174353,323046.253369017
"66","b_t",2016,121191.03231947,203829.61487472,12479.0338322773,414360.163043252
"67","b_t",2017,146620.280447097,254544.296319153,14680.932722398,486591.452942918
"68","b_t",2018,166016.531492544,311954.969621303,19029.440049065,554110.61433448
"69","bmsy",1951,256259.987497741,433998.994736903,31742.7577478584,841127.157211835
"70","ck",1951,0.00054238720157717,0.00051238001612424,5.94444523009129e-05,0.00157516272340717
"71","ck",1952,0.00054238720157717,0.00051238001612424,5.94444523009129e-05,0.00157516272340717
"72","ck",1953,0.00108477440315434,0.00102476003224848,0.000118888904601826,0.00315032544681434
"73","ck",1954,0.00162716160473151,0.00153714004837272,0.000178333356902739,0.00472548817022151
"74","ck",1955,0.00216954880630868,0.00204952006449696,0.000237777809203652,0.00630065089362868
"75","ck",1956,0.00108477440315434,0.00102476003224848,0.000118888904601826,0.00315032544681434
"76","ck",1957,0.00108477440315434,0.00102476003224848,0.000118888904601826,0.00315032544681434
"77","ck",1958,0.00596625921734886,0.00563618017736664,0.000653888975310042,0.0173267899574789
"78","ck",1959,0.00759342082208037,0.00717332022573936,0.000832222332212781,0.0220522781277004
"79","ck",1960,0.00813580802365754,0.0076857002418636,0.000891666784513694,0.0236274408511076
"80","ck",1961,0.0124749056362749,0.0117847403708575,0.001367222402921,0.0362287426383649
"81","ck",1962,0.0124749056362749,0.0117847403708575,0.001367222402921,0.0362287426383649
"82","ck",1963,0.0119325184346977,0.0112723603547333,0.00130777795062008,0.0346535799149577
"83","ck",1964,0.00976296962838905,0.00922284029023632,0.00107000014141643,0.0283529290213291
"84","ck",1965,0.0119325184346977,0.0112723603547333,0.00130777795062008,0.0346535799149577
