"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,72373.9796148894,89211.1712774669,16022.786235242,202190.173497636
"2","b_t",1952,57186.4735584138,71506.3815822389,10868.8911507573,168415.51604213
"3","b_t",1953,33790.0081336527,43205.8905115434,6275.90439468843,99363.1055073188
"4","b_t",1954,19882.0680418903,25209.9098015712,3541.12954635631,58034.1274773549
"5","b_t",1955,15492.0257159249,20021.2551996423,2772.20224391915,48196.3905136948
"6","b_t",1956,16176.1184411942,21460.5275088386,2814.88503805039,47115.9207235107
"7","b_t",1957,19577.8910924945,26036.9044907607,3456.23681441426,57196.6442460994
"8","b_t",1958,35095.5822995161,49791.3998138105,6265.86545859497,99452.8751202878
"9","b_t",1959,42638.3389390255,55766.3323559667,7622.1383065682,123291.52776008
"10","b_t",1960,44569.0885152293,56685.0078503762,8372.32703638974,129518.428731256
"11","b_t",1961,43563.5832975648,54645.4182991642,8381.77028235084,128646.509747676
"12","b_t",1962,73671.6380139685,98041.6103572929,13332.9645455452,217200.785980826
"13","b_t",1963,88994.665185219,119119.620418949,15618.9991624479,262717.383691972
"14","b_t",1964,73605.489886134,103716.971003496,13182.0208506586,213624.689763509
"15","b_t",1965,62174.781920392,80893.6250094665,10834.893489572,179905.977833343
"16","b_t",1966,57654.5147266044,74643.7292629601,10633.196647589,171750.138218295
"17","b_t",1967,61386.8483153666,80656.1853002479,10973.7729606045,179170.025492053
"18","b_t",1968,47787.1173022415,61051.5797987347,8335.38044612212,140602.414571643
"19","b_t",1969,38066.3884628513,52252.8219464761,6966.82716355759,110152.225125648
"20","b_t",1970,42783.9554880378,56035.2499748183,7767.96097177321,126662.780470346
"21","b_t",1971,44503.5852903534,56715.5775026828,8018.65796128519,130239.685145911
"22","b_t",1972,47360.1542772505,62350.0403080206,8432.55592072065,135658.626356884
"23","b_t",1973,64757.6797403071,85494.3788240981,11804.0787723663,185484.571684416
"24","b_t",1974,68710.0928788638,90810.8591128536,12274.7559513578,195936.229642132
"25","b_t",1975,64148.2870757332,85177.3931898653,11678.1133410929,186807.224041092
"26","b_t",1976,63375.7217416968,84375.4202189566,10999.019452822,183022.712260727
"27","b_t",1977,51213.1345805712,67952.9352075166,9065.83093567442,150779.420971957
"28","b_t",1978,38666.621682422,49628.8483505872,6849.77711341329,110817.243080336
"29","b_t",1979,39414.9926015961,51196.5428630613,7237.44807895471,118963.103406796
"30","b_t",1980,32468.1084377184,42201.6077163002,5794.8779189204,92901.7791347758
"31","b_t",1981,29282.5959978617,40340.7568424655,5274.70124361111,82758.0421663598
"32","b_t",1982,40475.1112551248,51032.9138983388,7417.23313509315,112543.09131544
"33","b_t",1983,54293.2756918931,71013.1213266307,9658.51355788179,162300.275298556
"34","b_t",1984,58911.7578079123,73990.9914823086,10759.9389072947,164679.157364818
"35","b_t",1985,56409.4325850158,77012.3886831708,10260.2556879449,162734.74066075
"36","b_t",1986,49248.9738276957,66235.6885880785,8888.04113548604,135674.834303117
"37","b_t",1987,40902.2158542657,55141.2506681957,7867.31289078526,116059.056025656
"38","b_t",1988,36471.5218799631,49602.8623491348,6650.15142711071,107335.820230197
"39","b_t",1989,37113.6587037773,47058.7813311979,7073.54001457018,111026.306811708
"40","b_t",1990,36100.718774635,47789.9173564003,6488.01517301166,101681.084458921
"41","b_t",1991,32576.4679172797,43160.0991645781,5950.80344377183,91353.6076524173
"42","b_t",1992,27509.6468719409,35960.3585907235,5209.73224996422,80240.013601789
"43","b_t",1993,31624.7521279526,41461.234484378,5734.9480035131,93781.9922642209
"44","b_t",1994,39661.6709511241,53589.5752779264,7349.9197210204,116345.49580496
"45","b_t",1995,43596.6402740969,53903.5742978482,8274.96639574367,129236.621272712
"46","b_t",1996,45542.4050672608,59476.5924672757,8447.51131541086,140288.251418934
"47","b_t",1997,57907.4864529336,76414.6199942665,10664.1982874579,171302.53795813
"48","b_t",1998,73861.01574492,91158.8699304034,13250.0175967894,207914.312417539
"49","b_t",1999,78263.1475598317,102453.16391799,13500.8064133154,227297.80752261
"50","b_t",2000,74565.6457357565,98832.2681616546,13566.9626997568,220251.373250903
"51","b_t",2001,76838.7596468779,104361.454081267,14342.9438765308,219430.006169456
"52","b_t",2002,87157.7402274034,118168.957156931,16798.8540045947,247172.442822655
"53","b_t",2003,119600.404924075,149111.419762679,22913.9852820479,340798.767751041
"54","b_t",2004,126413.022973242,166969.365053598,25080.3805650862,364644.903262976
"55","b_t",2005,160495.321068408,203690.336060374,32587.4459769172,481030.932712642
"56","b_t",2006,178811.826228218,223899.180653901,33966.1663034303,522352.682754555
"57","b_t",2007,140322.932315154,180032.027633362,25887.9002458214,410351.673824327
"58","b_t",2008,150151.716562827,191513.521052931,28715.4875993859,434372.879202323
"59","b_t",2009,159123.151427436,202108.69170353,30341.7998736729,482885.156565308
"60","b_t",2010,146484.250389022,184522.036101086,27915.2558658639,424716.765737233
"61","b_t",2011,129084.516436558,166349.972592489,23010.1158687359,368154.026352869
"62","b_t",2012,120977.040449687,150991.970980314,22879.1788656088,368156.239042636
"63","b_t",2013,111221.499643719,154993.565013501,19684.7764451982,331334.309634879
"64","b_t",2014,87140.4751922899,117556.138977839,15663.6065835551,247549.74682934
"65","b_t",2015,96226.1428750878,135606.898512136,16739.1480853536,269585.952862542
"66","b_t",2016,81271.7328303166,137241.093299223,12804.0360037032,243541.663413802
"67","b_t",2017,60739.0460411816,80266.5609849438,8954.9948568393,189022.778242794
"68","b_t",2018,43121.5471543026,52693.2313324904,8016.78109852614,128177.680295948
"69","bmsy",1951,52754.9634518054,62711.5674430967,12145.4165289825,147665.098415268
"70","ck",1951,0.00353720421712025,0.00249895409859223,0.000677208160010157,0.00823359657470338
"71","ck",1952,0.00530580632568037,0.00374843114788835,0.00101581224001524,0.0123503948620551
"72","ck",1953,0.00353720421712025,0.00249895409859223,0.000677208160010157,0.00823359657470338
"73","ck",1954,0.00176860210856012,0.00124947704929612,0.000338604080005079,0.00411679828735169
"74","ck",1955,0.00176860210856012,0.00124947704929612,0.000338604080005079,0.00411679828735169
"75","ck",1956,0.00176860210856012,0.00124947704929612,0.000338604080005079,0.00411679828735169
"76","ck",1957,0.00176860210856012,0.00124947704929612,0.000338604080005079,0.00411679828735169
"77","ck",1958,0.00530580632568037,0.00374843114788835,0.00101581224001524,0.0123503948620551
"78","ck",1959,0.00530580632568037,0.00374843114788835,0.00101581224001524,0.0123503948620551
"79","ck",1960,0.00530580632568037,0.00374843114788835,0.00101581224001524,0.0123503948620551
"80","ck",1961,0.00530580632568037,0.00374843114788835,0.00101581224001524,0.0123503948620551
"81","ck",1962,0.00884301054280061,0.00624738524648058,0.00169302040002539,0.0205839914367585
"82","ck",1963,0.0106116126513607,0.00749686229577669,0.00203162448003047,0.0247007897241101
"83","ck",1964,0.00707440843424049,0.00499790819718446,0.00135441632002031,0.0164671931494068
"84","ck",1965,0.00707440843424049,0.00499790819718446,0.00135441632002031,0.0164671931494068
"85","ck",1966,0.00707440843424049,0.00499790819718446,0.00135441632002031,0.0164671931494068
"86","ck",1967,0.0106116126513607,0.00749686229577669,0.00203162448003047,0.0247007897241101
"87","ck",1968,0.00707440843424049,0.00499790819718446,0.00135441632002031,0.0164671931494068
"88","ck",1969,0.00353720421712025,0.00249895409859223,0.000677208160010157,0.00823359657470338
"89","ck",1970,0.00530580632568037,0.00374843114788835,0.00101581224001524,0.0123503948620551
"90","ck",1971,0.00530580632568037,0.00374843114788835,0.00101581224001524,0.0123503948620551
"91","ck",1972,0.00417390097620189,0.00294876583633883,0.000799105628811986,0.00971564395814999
"92","ck",1973,0.00707440843424049,0.00499790819718446,0.00135441632002031,0.0164671931494068
"93","ck",1974,0.00891375462714302,0.00629736432845242,0.0017065645632256,0.0207486633682525
"94","ck",1975,0.00818862776263337,0.00578507873824102,0.00156773689042351,0.0190607760704383
"95","ck",1976,0.0103109502929055,0.00728445119739635,0.00197406178642961,0.0240009340152604
"96","ck",1977,0.00659688586492926,0.00466054939387451,0.00126299321841894,0.0153556576118218
"97","ck",1978,0.00415621495511629,0.00293627106584587,0.000795719588011935,0.00967447597527647
"98","ck",1979,0.00652614178058685,0.00461057031190267,0.00124944905521874,0.0151909856803277
"99","ck",1980,0.00440381925031471,0.00311119785274733,0.000843124159212646,0.0102508277355057
"100","ck",1981,0.00313042573215142,0.00221157437725412,0.000599329221608989,0.00728673296861249
"101","ck",1982,0.00710978047641169,0.00502289773817039,0.00136118840162042,0.0165495291151538
"102","ck",1983,0.0131407136666017,0.00928361447627014,0.00251582831443773,0.0305878112750231
"103","ck",1984,0.0139365846154538,0.00984587914845339,0.00266820015044002,0.0324403705043313
"104","ck",1985,0.0134236900039713,0.00948353080415752,0.00257000496723855,0.0312464990009993
"105","ck",1986,0.0119557502538664,0.00844646485324174,0.00228896358083433,0.0278295564224974
"106","ck",1987,0.0104701244826759,0.007396904131833,0.00200453615363007,0.024371445861122
"107","ck",1988,0.0102048341663919,0.00720948257443859,0.0019537455416293,0.0237539261180193
"108","ck",1989,0.0105939266302751,0.00748436752528373,0.00202823843923042,0.0246596217412366
"109","ck",1990,0.0108945889887304,0.00769677862366407,0.00208580113283129,0.0253594774500864
"110","ck",1991,0.0107884728622167,0.00762181000070631,0.00206548488803098,0.0251124695528453
"111","ck",1992,0.00649076973841565,0.00458558077091674,0.00124267697361864,0.0151086497145807
"112","ck",1993,0.00909061483799903,0.00642231203338203,0.0017404249712261,0.0211603431969877
"113","ck",1994,0.0123802147599209,0.00874633934507281,0.00237022856003555,0.0288175880114618
"114","ck",1995,0.0135828641937417,0.00959598373859417,0.002600479334439,0.031617010846861
"115","ck",1996,0.0124863308864345,0.00882130796803058,0.00239054480483586,0.0290645959087029
"116","ck",1997,0.0147324555643058,0.0104081438206366,0.00282057198644231,0.0342929297336396
"117","ck",1998,0.0256624165952074,0.0181299119852866,0.00491314520087369,0.059734743149473
"118","ck",1999,0.0240529886764177,0.0169928878704272,0.00460501548806907,0.055988456707983
"119","ck",2000,0.0183580898868541,0.0129695717716937,0.00351471035045272,0.0427323662227105
"120","ck",2001,0.0204627263960406,0.0144564494603561,0.00391764920565876,0.0476313561846591
"121","ck",2002,0.0208871909020951,0.0147563239521871,0.00399891418485998,0.0486193877736235
"122","ck",2003,0.0434722398284078,0.0307121458716985,0.00832288828652484,0.101190901903105
"123","ck",2004,0.0358849367826849,0.0253518893302182,0.00687027678330305,0.0835298372503658
"124","ck",2005,0.066658613471631,0.0470927899879706,0.0127619877753914,0.155162127450285
"125","ck",2006,0.0892436623979438,0.063048611907482,0.0170859618770563,0.207733641579766
"126","ck",2007,0.0602385878175578,0.0425571882990257,0.011532854964973,0.140218149667199
"127","ck",2008,0.0640941404142188,0.0452810482664912,0.0122710118593841,0.149192769933625
"128","ck",2009,0.0738921960956419,0.0522031511195917,0.0141468784626122,0.171999832445554
"129","ck",2010,0.0704611080050353,0.0497791656439572,0.0134899865474023,0.164013243768091
"130","ck",2011,0.0495916031240258,0.0350353364622631,0.00949445840334241,0.115435023977341
"131","ck",2012,0.0433130656386374,0.0305996929372619,0.00829241391932438,0.100820390057243
"132","ck",2013,0.0411907431083653,0.0291003204781065,0.00788608902331828,0.0958802321124209
"133","ck",2014,0.0249726617728689,0.0176426159360612,0.00478108960967171,0.0581291918174059
"134","ck",2015,0.0406955345179684,0.0287504669043036,0.00779127988091686,0.0947275285919624
"135","ck",2016,0.0430477753223534,0.0304122713798675,0.00824162330732362,0.10020287031414
"136","ck",2017,0.0278201111676507,0.0196542739854279,0.00532624217847989,0.0647572370600421
"137","ck",2018,0.0347353454121208,0.0245397292481757,0.00665018413129975,0.0808539183635872
"138","crashed",1951,0,0,0,0
"139","delta",1951,100,0,100,100
"140","dep_t",1951,0.680654680808815,0.0654184043145149,0.581456891270078,0.79352290961177
