"","variable","year","mean","sd","lower","upper"
"1","b_t",2006,2455.35525901362,6311.59613778678,392.120770384977,8426.13952297676
"2","b_t",2007,2485.32443110513,6736.7252218649,310.702876199778,9209.06518449594
"3","b_t",2008,3086.47877468306,8827.85181364464,390.689574699642,10413.3426092982
"4","b_t",2009,4819.00352560698,13791.5307740494,458.461594246853,16791.0247291595
"5","b_t",2010,1295.4603932912,4333.97478195898,112.570627976912,4722.01005008689
"6","b_t",2011,1101.69707824654,3282.89324843709,104.240763093305,3793.8297907828
"7","b_t",2012,850.060073748034,2429.32205578029,84.7365237375265,2900.39581105247
"8","b_t",2013,875.629979408011,2483.0504127853,103.050110898399,3245.62508112826
"9","b_t",2014,1606.45841940554,4899.83557907977,172.340182076451,5861.26465437853
"10","b_t",2015,1597.06818363878,4306.1087230184,188.705236408075,5831.52771730975
"11","b_t",2016,1898.24341339402,5971.45937267688,198.101402045911,6754.55825929652
"12","b_t",2017,1885.22635084402,8940.87794869965,163.142166230888,6425.11442014605
"13","b_t",2018,1164.07027474188,2856.996686953,146.185460314652,4372.36164768221
"14","bmsy",2006,1605.73740019567,4042.21800312758,262.514462463548,5557.59782173128
"15","ck",2006,0.131045485964849,0.0777942894201854,0.0116957054016726,0.247605406611979
"16","ck",2007,0.127013317165931,0.0754006189764874,0.0113358375431596,0.239986778716226
"17","ck",2008,0.173383258353493,0.102927829079015,0.0154743179160592,0.327600999517388
"18","ck",2009,0.406241006491033,0.241162297202575,0.0362566867451851,0.767576760497136
"19","ck",2010,0.0705629539810727,0.0418892327647152,0.00629768752397757,0.133325988175681
"20","ck",2011,0.059474489784047,0.0353066390445457,0.00530805091306681,0.11237476146236
"21","ck",2012,0.0322573503913475,0.0191493635495841,0.00287894286810403,0.0609490231660256
"22","ck",2013,0.0302412659918883,0.0179525283277351,0.00269900893884753,0.0571397092181491
"23","ck",2014,0.106852473171339,0.0634322667579973,0.0095364982505946,0.20189363923746
"24","ck",2015,0.0846755447772873,0.0502670793176583,0.00755722502877308,0.159991185810817
"25","ck",2016,0.171367173954034,0.101730993857166,0.0152943839868027,0.323791685569511
"26","ck",2017,0.153222414358901,0.0909594768605245,0.0136749786234941,0.289507860038622
"27","ck",2018,0.201608439945922,0.119683522184901,0.0179933929256502,0.38093139478766
"28","crashed",2006,0,0,0,0
"29","delta",2006,100,0,100,100
"30","dep_t",2006,0.760665542814428,0.0757852300433302,0.642709445776874,0.89248130759529
"31","dep_t",2007,0.702279973664148,0.201171602393779,0.426967439669397,1.05882872007429
"32","dep_t",2008,0.868446723322216,0.220473523788694,0.552530310581924,1.23851785689876
"33","dep_t",2009,1.25699295888943,0.378973540534666,0.726565643656705,1.87865965732168
"34","dep_t",2010,0.318622531616328,0.135910065914272,0.163451812695068,0.564910783786472
"35","dep_t",2011,0.281834451433333,0.133372485337688,0.14293738104995,0.487181857422939
"36","dep_t",2012,0.228419866435541,0.0965319818110855,0.116127572616347,0.402665033453281
"37","dep_t",2013,0.248021193533599,0.0913152481342353,0.129798876860818,0.398734361764844
"38","dep_t",2014,0.428640422681193,0.170344313588933,0.236596750203767,0.722550685059259
"39","dep_t",2015,0.459096781358916,0.182522354654051,0.244686693228245,0.787416940057204
"40","dep_t",2016,0.530012453809438,0.263500000650627,0.256430254320625,1.02498415305745
