"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,156107.020488715,9436.05761299813,140393.318635853,168681.096417991
"2","b_t",1952,186930.417116385,11992.0164434138,165255.456977352,204109.912482419
"3","b_t",1953,86568.4608113017,10458.661965826,70589.6351571127,103566.941065841
"4","b_t",1954,123761.952971529,18503.6267775862,92602.7728299278,155550.715099915
"5","b_t",1955,158273.340287224,26464.3637731463,114811.351637509,202733.717893308
"6","b_t",1956,201919.944069063,22874.7018199036,166571.104671828,237503.231756298
"7","b_t",1957,107144.580547914,11346.7933259457,91838.8645773228,126712.972510386
"8","b_t",1958,93406.9632043177,10290.7148210757,80408.0399853546,110373.53553858
"9","b_t",1959,105518.272862151,9299.28994120569,92504.1420036162,121143.264384632
"10","b_t",1960,146892.84181291,12188.0490882952,128591.074131845,166436.751228748
"11","b_t",1961,92969.805457885,7375.32122710945,82572.4273387627,105768.787592185
"12","b_t",1962,94812.3963066209,8011.09660160597,81948.7305287811,107569.984770976
"13","b_t",1963,113872.596727104,10430.7242655163,95644.4710739334,128775.836676074
"14","b_t",1964,195211.655640712,14681.2140888285,174941.055026304,222070.629527873
"15","b_t",1965,107095.970987949,7682.73791030627,95516.490212031,120738.039235228
"16","b_t",1966,79345.8882240843,9972.95382062071,66674.8495828342,95467.488868933
"17","b_t",1967,155702.156704974,30485.1843042707,111680.194133299,193083.217881888
"18","b_t",1968,155353.012333298,19255.3430822827,123751.54883171,185253.950196607
"19","b_t",1969,118271.778228992,12181.1498879674,101481.510196436,141903.511159943
"20","b_t",1970,96282.046836418,9847.30253305941,81858.4401125332,114362.492639623
"21","b_t",1971,73838.9327937646,6404.84379545672,64511.3848796653,83517.7159324662
"22","b_t",1972,58505.7564820932,6180.8736881814,48975.5261962012,68229.3408120168
"23","b_t",1973,54184.0114046845,5529.24621192896,45191.9640638204,62168.0486091236
"24","b_t",1974,55584.1895727011,7830.9080652877,43504.3074256102,66009.8771600165
"25","b_t",1975,42052.6287514216,6225.111795256,32527.9456308847,50679.3761712116
"26","b_t",1976,26472.7619527876,3408.35647389474,20712.0509033924,31336.2914461712
"27","b_t",1977,43931.280726823,4521.04527885707,37992.0822661399,52127.0347303143
"28","b_t",1978,35943.575413506,3151.51930933545,31332.5203777374,41159.8158830101
"29","b_t",1979,35062.056493258,3283.50001482284,30091.7461768507,40730.99613203
"30","b_t",1980,38522.362709861,3585.58450429533,34294.4900576324,45697.4998894878
"31","b_t",1981,30504.4215661453,4138.54441452385,23891.5961776139,37695.9832555486
"32","b_t",1982,47602.5040567581,9814.13354779619,32444.2999758522,62948.9569754311
"33","b_t",1983,27865.6783089243,5555.12298941457,18713.4471453323,35767.8600192473
"34","b_t",1984,37025.9680942806,7636.27030914877,25878.1983193831,47090.2135032061
"35","b_t",1985,51496.2981373016,2602.38987897684,47166.4417585004,55465.2693055816
"36","b_t",1986,31696.3003322921,2300.10763100144,27804.7964087189,35471.0445123917
"37","b_t",1987,33570.957122464,3019.14241926973,29090.3429981251,37957.6865466218
"38","b_t",1988,14360.6862173262,1451.22153184158,12699.1188489777,16929.4951630418
"39","b_t",1989,14953.8978001839,1748.29410101904,12857.7113229085,18020.1729760351
"40","b_t",1990,21252.946746448,1606.72021340511,19305.9193588324,23924.3428584351
"41","b_t",1991,23681.5587095175,1591.57668677471,21368.7533477573,26054.4552989764
"42","b_t",1992,23216.2599337168,2048.19285441529,18971.7697586022,26119.0828887527
"43","b_t",1993,41792.7062567226,2278.28984026218,38359.2761761296,45647.8041724769
"44","b_t",1994,31715.733565345,2133.01929609419,27897.3593751839,34939.5780394192
"45","b_t",1995,44336.6178677933,3216.8153221545,39437.4541346785,49338.8916111358
"46","b_t",1996,33069.6984894065,2552.70675663056,29418.1095869364,37757.3892432982
"47","b_t",1997,34781.7031872864,2401.43059241888,31606.2145636364,38760.3956345563
"48","b_t",1998,24549.7737616576,1427.86038449653,22389.6019905597,27036.5966606928
"49","b_t",1999,18561.5764447461,1638.22373568088,16813.0522682438,21832.1180540516
"50","b_t",2000,22164.106061318,3100.95947604894,18844.9741282275,28265.9185744159
"51","b_t",2001,26333.7836069991,3977.21152455875,22225.6227700565,33349.7799285313
"52","b_t",2002,30104.2060196116,1094.14480972447,28544.3484916558,32006.1478767955
"53","b_t",2003,14064.3827661267,448.00280097775,13273.4413119011,14799.2672891404
"54","b_t",2004,8313.88368443944,417.660771224525,7767.95671171845,9256.06879779565
"55","b_t",2005,5607.61893861058,179.914124207893,5274.59050044673,5858.53622858105
"56","b_t",2006,5503.50490391052,182.818115748365,5228.77864308271,5789.89273467966
"57","b_t",2007,3572.7719193019,204.952034753893,3230.6037228741,3865.21477801766
"58","b_t",2008,1226.62188747821,70.584066287635,1111.31833739843,1340.69712553977
"59","b_t",2009,732.559367604867,63.4921741343613,640.544337409787,831.190723803385
"60","b_t",2010,479.392388467994,34.6453518962147,431.681034696798,537.763998553059
"61","b_t",2011,399.453337118596,32.7602234363393,350.656742068688,456.01547478625
"62","b_t",2012,238.433681824683,23.2640684498747,205.219120311477,279.589974367332
"63","b_t",2013,280.826592461345,33.1718242244673,232.343877589677,337.848100187037
"64","b_t",2014,328.315474141628,48.452701734441,260.045893918979,411.763269185546
"65","b_t",2015,547.342218886988,90.3989243614643,416.559528750666,700.599385616017
"66","b_t",2016,2868.32363996053,538.644533032382,2106.62741228297,3770.28126911575
"67","b_t",2017,13068.8294912368,2761.86858746694,9253.83760423949,17866.4839047214
"68","b_t",2018,34947.8911967924,7045.06205458851,25034.7306512747,46957.7643789841
"69","bmsy",1951,92882.5170885196,6602.98668451393,81976.6008811193,101120.64460568
"70","ck",1951,0.0584445327759431,0.0043213547738814,0.0534015583175253,0.0658724556286208
"71","ck",1952,0.0746791252137051,0.00552173109995956,0.0682353245168379,0.0841703599699043
"72","ck",1953,0.0703499005636353,0.00520163074633872,0.0642796535303546,0.0792909188122287
"73","ck",1954,0.0676441351573416,0.00500156802532569,0.0618073591638025,0.0762412680886815
"74","ck",1955,0.0633149105072717,0.00468146767170485,0.0578516881773191,0.0713618269310059
"75","ck",1956,0.0730556659699289,0.00540169346735174,0.0667519478969067,0.082340569535776
"76","ck",1957,0.0676441351573416,0.00500156802532569,0.0618073591638025,0.0762412680886815
"77","ck",1958,0.0606091451009781,0.00448140495069182,0.055379393810767,0.0683121762074586
"78","ck",1959,0.0779260437012575,0.00576180636517519,0.0712020777567004,0.0878299408381611
"79","ck",1960,0.0649383697510479,0.00480150530431266,0.0593350647972504,0.0731916173651342
"80","ck",1961,0.0568210735321669,0.00420131714127358,0.0519181816975941,0.0640426651944924
"81","ck",1962,0.0362572564443351,0.00268084046157457,0.0331287445117981,0.0408653196955333
"82","ck",1963,0.0665618289948241,0.00492154293692048,0.0608184414171816,0.0750214077992626
"83","ck",1964,0.100654473114124,0.00744233322168463,0.0919693504357381,0.113447006915958
"84","ck",1965,0.0779260437012575,0.00576180636517519,0.0712020777567004,0.0878299408381611
"85","ck",1966,0.0909137176514671,0.00672210742603773,0.0830690907161505,0.102468264311188
"86","ck",1967,0.0784671967825162,0.0058018189093778,0.0716965366300109,0.0884398709828705
"87","ck",1968,0.093078329976502,0.00688215760284815,0.0850469262093922,0.104907984890026
"88","ck",1969,0.0784671967825162,0.0058018189093778,0.0716965366300109,0.0884398709828705
"89","ck",1970,0.0694028826714325,0.00513160879398416,0.0634143505020613,0.0782235410589872
"90","ck",1971,0.0350017812958148,0.00258801135902452,0.031981599925718,0.0394502817598073
"91","ck",1972,0.0252718488947828,0.00186858581426168,0.0230912293835966,0.0284837377579314
"92","ck",1973,0.0316195745379478,0.00233793295775824,0.0288912319675278,0.0356382183553733
"93","ck",1974,0.0270522425321241,0.00200022708468825,0.0247179990767879,0.0304904079340255
"94","ck",1975,0.0231018250389353,0.00170813551200923,0.0211084493016218,0.0260379178776465
"95","ck",1976,0.0218030576439143,0.00161210540592298,0.0199217480056768,0.0245740855303438
"96","ck",1977,0.0170463220596501,0.00126039514238207,0.0155754545092782,0.0192127995583477
"97","ck",1978,0.0182152127151689,0.0013468222378597,0.0166434856756287,0.0205302486709202
"98","ck",1979,0.0188375387586165,0.0013928366636927,0.0172121133799357,0.021231668337336
"99","ck",1980,0.0214134274254081,0.0015832963740971,0.0195657376168933,0.024134935826153
"100","ck",1981,0.0337192484932316,0.00249318162926435,0.0308097323959723,0.0380047473168459
"101","ck",1982,0.0462469423243713,0.00341947202755467,0.0422564553131085,0.0521246301668698
"102","ck",1983,0.0179229900512892,0.00132521546399029,0.0163764778840411,0.020200886392777
"103","ck",1984,0.0225877296117395,0.00167012359501675,0.0206387133719769,0.0254584842401725
"104","ck",1985,0.0278693836848247,0.00206064602643418,0.0254646319754866,0.0314114024525368
"105","ck",1986,0.0350667196655659,0.00259281286432884,0.0320409349905152,0.0395234733771725
"106","ck",1987,0.0318468588320764,0.00235473822632333,0.0290989046943182,0.0358943890161512
"107","ck",1988,0.0225606719576766,0.00166812296780662,0.0206139904283114,0.025427987732937
"108","ck",1989,0.019578918479941,0.00144765384925027,0.017889522036371,0.022067272635588
"109","ck",1990,0.0197574989967563,0.00146085798883713,0.0180526934645634,0.0222685495833421
"110","ck",1991,0.019145996014934,0.00141564381388818,0.0174939549377227,0.0215793285198204
"111","ck",1992,0.0344443936221183,0.00254679843849584,0.0314723072862082,0.0388220537107566
"112","ck",1993,0.0516422385445209,0.00381839709325464,0.0471862102800134,0.058205633709623
"113","ck",1994,0.0348881391487505,0.00257960872474198,0.0318777635623228,0.0393221964294184
"114","ck",1995,0.0409706997820987,0.00302934972157926,0.0374354812983319,0.0461778112559526
"115","ck",1996,0.046972087453258,0.00347308883678616,0.0429190302033444,0.0529419365607804
"116","ck",1997,0.0480435705541503,0.00355231367430732,0.0438980587724991,0.0541495982473051
"117","ck",1998,0.0426374512723756,0.00315258835772329,0.038958414628128,0.0480563961016577
"118","ck",1999,0.0321499045575813,0.00237714525107679,0.029375801663372,0.0362359498971885
"119","ck",2000,0.0321769622116442,0.00237914587828692,0.0294005246070376,0.036266446404424
"120","ck",2001,0.0355645805003239,0.00262962440499523,0.0324958371539608,0.0400846091103052
"121","ck",2002,0.0298337693697939,0.00220589156188964,0.0272595176856034,0.0336254488778321
"122","ck",2003,0.0266950814984933,0.00197381880551453,0.024391656220403,0.0300878540385173
"123","ck",2004,0.0202553598315144,0.00149766952950352,0.018507595628009,0.0228296853164748
"124","ck",2005,0.00446451292038454,0.000330103489671496,0.00407928570481096,0.00503192369385298
"125","ck",2006,0.00888573359426839,0.000657005975806783,0.00811901469975709,0.0100150529761292
"126","ck",2007,0.00675359045410899,0.000499356551648517,0.00617084673891404,0.00761192820597396
"127","ck",2008,0.000811729621888099,6.00188163039083e-05,0.00074168830996563,0.000914895217064178
"128","ck",2009,0.000822552683513274,6.08190671879604e-05,0.000751577487431838,0.000927093819958367
"129","ck",2010,0.000681852882386003,5.04158056952829e-05,0.000623018180371129,0.000768511982333909
"130","ck",2011,0.000508683896383209,3.76117915504492e-05,0.000464791340911795,0.000573334336026885
"131","ck",2012,0.000259753479004192,1.92060212172506e-05,0.000237340259189002,0.000292766469460537
"132","ck",2013,0.00030304572550489,2.24070247534591e-05,0.000276896969053835,0.000341560881037293
"133","ck",2014,0.000281399602254541,2.08065229853549e-05,0.000257118614121418,0.000317163675248915
"134","ck",2015,0.000351749502818176,2.60081537316936e-05,0.000321398267651773,0.000396454594061144
"135","ck",2016,0.000313868787130065,2.32072756375112e-05,0.000286786146520043,0.000353759483931482
"136","ck",2017,0.000351749502818176,2.60081537316936e-05,0.000321398267651773,0.000396454594061144
"137","ck",2018,0.00155310934321256,0.000114836001861478,0.0014190969664009,0.00175049951531613
