"","variable","year","mean","sd","lower","upper"
"1","b_t",2006,108249.318899604,424977.052146042,4316.76749563968,326547.302428184
"2","b_t",2007,119143.500812542,471574.777523064,4107.57888352949,372960.737185478
"3","b_t",2008,166822.214834367,651439.020012751,5392.23110069824,519260.241395308
"4","b_t",2009,120775.726910408,535458.459898771,2601.36889147728,343793.511271326
"5","b_t",2010,89479.0422756661,432784.219282692,2286.22323348608,229302.852925063
"6","b_t",2011,85929.5471345874,387587.723200132,2167.48836194622,252303.26955039
"7","b_t",2012,171637.086979711,684542.585302349,4522.73184484506,557749.476471484
"8","b_t",2013,89992.4188839123,622646.645720754,1431.81981846598,183256.075600621
"9","b_t",2014,76597.5347912145,444914.408545881,1599.58591055468,230500.09446669
"10","b_t",2015,80559.2466102885,343730.94925788,1667.09450449674,250263.304713686
"11","b_t",2016,73423.6737574878,315954.84860018,1455.94155536192,215134.404876841
"12","b_t",2017,58516.4081896936,192399.444909655,1399.11618916857,205724.748853249
"13","b_t",2018,50513.4413641498,209130.617219544,1763.05173830899,146936.940392764
"14","bmsy",2006,74745.9647557217,299975.860090089,2976.73066088451,228231.890042546
"15","ck",2006,0.00131630529486211,0.00151849173824234,5.69596174851006e-05,0.0043672107404646
"16","ck",2007,0.0267311229110459,0.0308370629919982,0.00115671838585127,0.0886879719602043
"17","ck",2008,0.111582187302926,0.128721376580235,0.0048284229591216,0.370205095076307
"18","ck",2009,0.0193901895358533,0.0223685513748775,0.000839058980645905,0.0643323735999209
"19","ck",2010,0.0133655614555229,0.0154185314959991,0.000578359192925637,0.0443439859801021
"20","ck",2011,0.00764469613554532,0.00881893278748434,0.000330803932317315,0.0253634162234675
"21","ck",2012,0.104899406575165,0.121012110832235,0.00453924336265879,0.348033102086256
"22","ck",2013,0.00587274670015402,0.00677480929369658,0.000254127524164295,0.0194844786882267
"23","ck",2014,0.00885974717695649,0.0102206174689388,0.0003833820407651,0.0293946876762041
"24","ck",2015,0.0134161885822484,0.015476935024393,0.000580549947444294,0.0445119556239662
"25","ck",2016,0.00926476419076022,0.0106878456960903,0.000400908076914362,0.0307384448271162
"26","ck",2017,0.00288574622335154,0.00332900111845435,0.00012487300756349,0.00957426970024932
"27","ck",2018,0.0839397761108221,0.0968330500771459,0.00363227099193449,0.27849366952655
"28","crashed",2006,0,0,0,0
"29","delta",2006,100,0,100,100
"30","dep_t",2006,0.729619421742967,0.0752710805914937,0.616154258634699,0.853279001960799
"31","dep_t",2007,0.863532922494628,0.378802812298077,0.341422019119495,1.50552335591382
