"","variable","year","mean","sd","lower","upper"
"1","b_t",1968,29110.5045261268,15391.6428700188,12492.0164263456,56984.7891967293
"2","b_t",1969,14123.6223457259,8764.55624725022,4979.3951683234,28963.8342839299
"3","b_t",1970,12621.3126982395,8245.72141697914,4383.20281929594,27410.4518154512
"4","b_t",1971,11942.3994381798,7806.34494070545,3949.25824653072,25978.702475037
"5","b_t",1972,6183.06089754662,4078.97786015493,2103.50323275575,13264.2352989366
"6","b_t",1973,8248.41680961659,5457.05106132396,2730.85660427818,18016.629604356
"7","b_t",1974,4552.81398143753,3023.12800593153,1515.73066269212,9575.23582670316
"8","b_t",1975,4452.70267264408,2865.51166216189,1490.80013927321,9519.85260346521
"9","b_t",1976,6784.49831727546,4535.89403842401,2185.95468490063,15043.5786867324
"10","b_t",1977,14787.784069765,9636.60108028963,4982.0520154991,32670.1159800277
"11","b_t",1978,14900.0998880726,9865.91831923559,4981.01229008655,33022.3948385901
"12","b_t",1979,10291.5116117339,6774.791297724,3531.58169319333,21994.9127495346
"13","b_t",1980,9670.97558069574,6243.58191738826,3388.53473982465,20950.9758804926
"14","b_t",1981,10162.6308228954,6795.68048006942,3329.11120172699,22433.3485344871
"15","b_t",1982,12878.7665892506,8501.24983123793,4241.83340518761,28446.2239901363
"16","b_t",1983,14433.0699710444,9488.99862540378,4888.22682213853,31988.7096907278
"17","b_t",1984,15106.3296189158,10330.7841246275,4992.9089938575,31833.9064557294
"18","b_t",1985,16000.1533137726,10918.332168219,5303.88201858364,34415.245465661
"19","b_t",1986,14991.5338252724,9942.7292357411,5180.96276637946,32672.1766299822
"20","b_t",1987,14388.4337968397,9548.94369545491,5045.18318682049,32064.2788650425
"21","b_t",1988,11513.5406652608,7340.0898668912,4031.16119593445,24576.7741064143
"22","b_t",1989,10945.9929043509,6983.9919585546,3811.74394901741,23357.8350388568
"23","b_t",1990,11172.2299687408,7683.68759315956,3689.52052896784,24707.1354024298
"24","b_t",1991,11733.8877797737,7505.4418916976,3833.08950564031,25927.0107291263
"25","b_t",1992,12926.4822598118,8263.65739874853,4365.44723471577,28705.2520918675
"26","b_t",1993,13114.3607994389,8424.97797393055,4500.20093582096,28656.1171545015
"27","b_t",1994,16613.5324691503,10747.3181943102,5781.66942757634,35916.0673881447
"28","b_t",1995,23484.9835702248,15601.2191265381,8089.90496603245,51339.2271475539
"29","b_t",1996,28922.7026451247,18493.8341360357,9843.37377857089,62415.8027422782
"30","b_t",1997,29211.3606054128,19520.1817421382,9902.03834003294,63245.9801222442
"31","b_t",1998,31359.3982780392,20607.8004143743,10913.4899995508,67138.676280247
"32","b_t",1999,42079.9405670222,27991.0775124776,15164.5080383213,87092.7200107453
"33","b_t",2000,49531.6627866116,32645.4846851151,16816.4197577003,109973.336516076
"34","b_t",2001,53095.3364414346,33759.1431909851,17742.5109895551,111178.444799677
"35","b_t",2002,54614.0389211661,33781.5358979118,18929.1279564456,113340.037459063
"36","b_t",2003,56357.9247920541,34312.5104854362,20639.5422870404,121408.077191026
"37","b_t",2004,61189.5151922267,38508.428746482,22029.6463961756,131631.127292338
"38","b_t",2005,67867.9773694973,43103.4501657481,22928.51539145,144039.806711809
"39","b_t",2006,62056.3299348616,38786.2860209669,21310.4934499627,133284.801863103
"40","b_t",2007,56198.1771770524,34596.1650125124,20316.6020605016,115795.645818936
"41","b_t",2008,53603.7402399375,34242.8951225496,17903.5776109526,114891.82511246
"42","b_t",2009,63279.4331653286,38390.696684089,22870.8601637312,133068.11697216
"43","b_t",2010,58834.8204606281,37098.9648504582,20119.3937317052,125083.034021052
"44","b_t",2011,56020.1445059881,36190.7283329413,18882.3316937666,120939.44722193
"45","b_t",2012,57320.0835273288,39387.5763408935,19040.7631341758,123146.156361075
"46","b_t",2013,57436.8253786625,36346.2061009606,20597.1787558216,120213.018465309
"47","b_t",2014,58508.7273326524,38756.8564598307,20052.2036449608,123560.060196654
"48","b_t",2015,52751.9750940631,35335.6965658306,18092.8670579355,116399.475707107
"49","b_t",2016,37401.9165505857,27702.4597693091,11273.2740315027,87657.749574431
"50","b_t",2017,24881.5244192013,19316.4198527765,7708.3886148205,57751.368165299
"51","b_t",2018,15937.5445794666,9384.54750441805,6057.26257569849,33721.6183548309
"52","bmsy",1968,21501.0032592327,10978.0974880777,9762.16292573722,40826.347799363
"53","ck",1968,0.00286750394168103,0.00127939329326308,0.00122469939737572,0.00512181615729908
"54","ck",1969,0.00286750394168103,0.00127939329326308,0.00122469939737572,0.00512181615729908
"55","ck",1970,0.00378510520301896,0.00168879914710727,0.00161660320453595,0.00676079732763479
"56","ck",1971,0.00699670961770172,0.00312171963556192,0.00298826652959676,0.0124972314238098
"57","ck",1972,0.000774226064253878,0.000345436189181032,0.000330668837291445,0.00138289036247075
"58","ck",1973,0.00470270646435689,0.00209820500095145,0.00200850701169618,0.00839977849797049
"59","ck",1974,0.00088892622192112,0.000396611920911555,0.000379656813186474,0.00158776300876272
"60","ck",1975,0.00103230141900517,0.000460581585574709,0.00044089178305526,0.00184385381662767
"61","ck",1976,0.00189255260150948,0.000844399573553633,0.000808301602267976,0.00338039866381739
"62","ck",1977,0.010122288914134,0.00451625832521867,0.0043231888727363,0.0180800110352658
"63","ck",1978,0.00782828576078922,0.00349274369060821,0.00334342935483572,0.0139825581094265
"64","ck",1979,0.00312557929643232,0.00139453868965676,0.00133492234313954,0.005582779611456
"65","ck",1980,0.00358437992710129,0.00159924161657885,0.00153087424671965,0.00640227019662385
"66","ck",1981,0.00364173000593491,0.00162482948244411,0.00155536823466717,0.00650470651976983
"67","ck",1982,0.00679598434178404,0.0030321621050335,0.00290253757178046,0.0121387042927988
"68","ck",1983,0.00883191214037757,0.00394053134325029,0.00377207414391722,0.0157751937644812
"69","ck",1984,0.00871721198271033,0.00388935561151976,0.00372308616802219,0.0155703211181892
"70","ck",1985,0.0108965149783879,0.0048616945143997,0.00465385771002774,0.0194629013977365
"71","ck",1986,0.00966348828346507,0.00431155539829658,0.00412723696915618,0.0172605204500979
"72","ck",1987,0.0123589419886452,0.00551418509396388,0.00527845440268936,0.022075027637959
"73","ck",1988,0.0086311868644599,0.00385097381272187,0.00368634518610092,0.0154166666334702
"74","ck",1989,0.00777093568195559,0.00346715582474295,0.00331893536688821,0.0138801217862805
"75","ck",1990,0.00831576143087499,0.00371024055046293,0.00355162825238959,0.0148532668561673
"76","ck",1991,0.00963481324404826,0.00429876146536395,0.00411498997518242,0.0172093022885249
"77","ck",1992,0.0117280911214754,0.005232718569446,0.0050090205352667,0.0209482280833532
"78","ck",1993,0.00940541292871378,0.0041964100019029,0.00401701402339237,0.016799556995941
"79","ck",1994,0.0117280911214754,0.005232718569446,0.0050090205352667,0.0209482280833532
"80","ck",1995,0.0204453031041858,0.00912207418096576,0.0087321067032889,0.0365185492015425
"81","ck",1996,0.0303095166635685,0.0135231871097908,0.0129450726302614,0.0541375967826513
"82","ck",1997,0.0207607285377707,0.0092628074432247,0.00886682363700022,0.0370819489788453
"83","ck",1998,0.0216496547596918,0.00965941936413625,0.0092464804501867,0.0386697119876081
"84","ck",1999,0.0378510520301896,0.0168879914710727,0.0161660320453595,0.0676079732763479
"85","ck",2000,0.0422670081003784,0.0188582571426978,0.0180520691173181,0.0754955701585885
"86","ck",2001,0.0475432153530715,0.0212123408023019,0.0203055160084895,0.0849197118880188
"87","ck",2002,0.0453352373179771,0.0202272079664893,0.0193624974725102,0.0809759134468985
"88","ck",2003,0.0527047224480974,0.0235152487301754,0.0225099749237658,0.0941389809711571
"89","ck",2004,0.0564898276511163,0.0252040478772827,0.0241265781283017,0.100899778298792
"90","ck",2005,0.0762182547698818,0.0340062737349327,0.0325525099822467,0.13613787346101
"91","ck",2006,0.0630564116775659,0.0281338585188551,0.0269311397482921,0.112628737299007
"92","ck",2007,0.0668415168805848,0.0298226576659624,0.0285477429528281,0.119389534626642
"93","ck",2008,0.0471130897618193,0.0210204318083124,0.0201218110988831,0.0841514394644239
"94","ck",2009,0.0752433034297103,0.0335712800152232,0.0321361121871389,0.134396455967528
"95","ck",2010,0.072261099330362,0.0322407109902296,0.0308624248138682,0.129069767163937
"96","ck",2011,0.0599308323811336,0.0267393198291984,0.0255962174051526,0.107045957687551
"97","ck",2012,0.0575794791489551,0.0256902173287226,0.0245919638993045,0.102846068438566
"98","ck",2013,0.0632284619140667,0.0282106221164509,0.0270046217121347,0.112936046268445
"99","ck",2014,0.0682752688514253,0.0304623543125939,0.0291600926515159,0.121950442705291
"100","ck",2015,0.0658665655404133,0.029387663946253,0.0281313451577203,0.11764811713316
"101","ck",2016,0.0703998025218168,0.0314102568035726,0.0300674724350316,0.125745196296234
"102","ck",2017,0.0753075355180039,0.0335999384249923,0.0321635454536402,0.134511184649451
"103","ck",2018,0.0666121165652503,0.0297203062025014,0.028449767001038,0.118979789334058
